Entity ID,Description,Creator Label,Input Text
http://www.wikidata.org/entity/Q3630732,N/A,Henri de Toulouse-Lautrec,Self-portrait in front of a mirror
http://www.wikidata.org/entity/Q114917055,N/A,Pompeo Batoni,Porträt Des John Marquis of Monthermer
http://www.wikidata.org/entity/Q119742892,N/A,George Lambert,"Richmond Castle, Yorkshire"
http://www.wikidata.org/entity/Q4252531,N/A,Titian,Portrait of Pietro Bembo
http://www.wikidata.org/entity/Q20267796,N/A,John Singer Sargent,Madame Paul Escudier
http://www.wikidata.org/entity/Q52303183,N/A,John Riley,Probably Sir Edward Blackett
http://www.wikidata.org/entity/Q107450238,N/A,Ferdinand Hodler,Dents du Midi
http://www.wikidata.org/entity/Q75423344,N/A,Marc Chagall,Abdullah discovered before him...
http://www.wikidata.org/entity/Q110763254,N/A,Andreas Achenbach,Surf on a Rocky Coast
http://www.wikidata.org/entity/Q20177090,N/A,Peter Paul Rubens,"Deborah Kip, Wife of Sir Balthasar Gerbier, and Her Children"
http://www.wikidata.org/entity/Q18688180,N/A,Max Slevogt,The Dancer Marietta di Rigardo
http://www.wikidata.org/entity/Q18397538,N/A,Sebastiano del Piombo,Portrait of a Young Woman as a Wise Virgin
http://www.wikidata.org/entity/Q18573860,N/A,Francesco Guardi,Carnival Thursday on the Piazzetta
http://www.wikidata.org/entity/Q20816267,N/A,Marc Chagall,The Smolensk Newspaper
http://www.wikidata.org/entity/Q4680459,N/A,Hieronymus Bosch,Adoration of the Magi
http://www.wikidata.org/entity/Q109971077,N/A,Mestre Ataíde,Agonia e Morte de São Francisco
http://www.wikidata.org/entity/Q18890130,N/A,Edvard Munch,Horse Team
http://www.wikidata.org/entity/Q5803847,N/A,Joachim Patinir,Landscape with The Flight into Egypt
http://www.wikidata.org/entity/Q3213272,N/A,William Turner,Crossing the Brook
http://www.wikidata.org/entity/Q27980056,N/A,Salvator Rosa,Hl. Wilhelm Von Maleval Als Büßer
http://www.wikidata.org/entity/Q112181497,N/A,James Tissot,Deborah Beneath the Palm Tree
http://www.wikidata.org/entity/Q119142010,N/A,Frederick George Cotman,The Dame School
http://www.wikidata.org/entity/Q107435817,N/A,Joseph Anton Koch,Waterfalls at Subiaco
http://www.wikidata.org/entity/Q26713727,N/A,Giuseppe Maria Crespi,Musicians
http://www.wikidata.org/entity/Q50948457,N/A,Simon de Vlieger,Dutch Fishing Boats Shooting Their Nets
http://www.wikidata.org/entity/Q18683955,N/A,Claude Monet,Meadow at Bezons
http://www.wikidata.org/entity/Q19912880,N/A,Pierre Auguste Renoir,Reclining Nude
http://www.wikidata.org/entity/Q119852766,N/A,James Webb,On the Dutch Coast
http://www.wikidata.org/entity/Q27973540,N/A,Richard Hamilton,Desk
http://www.wikidata.org/entity/Q119831050,N/A,Alfred Wallis,Sailing Ship and Porpoises
http://www.wikidata.org/entity/Q108143096,N/A,Claude Monet,The Voorzaan
http://www.wikidata.org/entity/Q20488896,N/A,Eugene von Guerard,"Milford Sound, New Zealand"
http://www.wikidata.org/entity/Q119033124,N/A,Thomas Lawrence,Thomas William Coke of Holkham
http://www.wikidata.org/entity/Q64583707,N/A,John Marin,Brooklyn Bridge
http://www.wikidata.org/entity/Q119693892,N/A,James Charles,Portrait of the Artist's Daughter
http://www.wikidata.org/entity/Q20488879,N/A,Sam Gilliam,April 4
http://www.wikidata.org/entity/Q20488010,N/A,Asher Brown Durand,Mary Louisa Adams
http://www.wikidata.org/entity/Q3739407,N/A,Edgar Degas,Racehorses
http://www.wikidata.org/entity/Q28782498,N/A,Edward Poynter,Psyche in the Temple of Love
http://www.wikidata.org/entity/Q20816262,N/A,Marc Chagall,Purim
http://www.wikidata.org/entity/Q60465144,N/A,Pablo Picasso,The Harem
http://www.wikidata.org/entity/Q23940566,N/A,Karl Knaths,Connecticut Clock
http://www.wikidata.org/entity/Q17017585,N/A,Max Ernst,Of This Men Shall Know Nothing
http://www.wikidata.org/entity/Q116962949,N/A,Lucas Cranach the Elder,"Portrait of Johann Friedrich, Elector of Saxony"
http://www.wikidata.org/entity/Q78666960,N/A,John Singleton Copley,Eunice Dennie Burr
http://www.wikidata.org/entity/Q43979828,N/A,Adriaen van Ostade,Buying Fish
http://www.wikidata.org/entity/Q19925587,N/A,Asher Brown Durand,In the Woods
http://www.wikidata.org/entity/Q17519105,N/A,Peter Paul Rubens,The Judgment of Paris
http://www.wikidata.org/entity/Q108203214,N/A,Berthe Morisot,On the Lake in the Bois de Boulogne
http://www.wikidata.org/entity/Q55279634,N/A,Ivan Shishkin,Forest
http://www.wikidata.org/entity/Q67089946,N/A,Odilon Redon,Profile and Flowers
http://www.wikidata.org/entity/Q119930718,N/A,John Jackson,The Artist's Father
http://www.wikidata.org/entity/Q30312793,N/A,William Merritt Chase,The Wounded Poacher (The Veteran)
http://www.wikidata.org/entity/Q96216693,N/A,Henri Rousseau,Landscape with Factory
http://www.wikidata.org/entity/Q26706280,N/A,William Turner,The Evening Star
http://www.wikidata.org/entity/Q119030159,N/A,John Crome,The Steam Packet
http://www.wikidata.org/entity/Q22034131,N/A,Eleanor Fortescue-Brickdale,Woman Reading
http://www.wikidata.org/entity/Q119939409,N/A,James Webb,On the Meuse
http://www.wikidata.org/entity/Q28048486,N/A,Lemuel Francis Abbott,Horatio Nelson
http://www.wikidata.org/entity/Q15805819,N/A,Vincent van Gogh,The Seine with the Pont de Clichy
http://www.wikidata.org/entity/Q17325449,N/A,Caspar David Friedrich,Neubrandenburg
